Rank,Movie Title (click to view),Studio,Total Gross,Theaters,Opening,Theaters,Open,Close
293,Kundo: Age of the Rampant,WGUSA,"$280,958",28,"$120,857",28,8/29,9/25
294,"20,000 Days on Earth",Drft.,"$279,558",28,"$27,879",1,9/17,1/15
295,The Unknown Known,RTWC,"$276,497",80,"$64,315",18,4/4,7/3
296,Main Tera Hero,Eros,"$274,579",77,"$162,404",77,4/4,4/24
297,Night Moves,Cdgm.,"$271,755",56,"$21,488",2,5/30,9/25
298,Love on the Cloud (Wei Ai),CL,"$271,734",17,"$67,967",17,12/24,1/29
299,The Love Punch,KE,"$266,588",121,"$26,420",40,5/23,6/22
300,Life of Crime,RAtt.,"$265,452",37,"$104,300",37,8/29,9/25
Summary of 702 Movies on Chart:
Totals:,"$10,435,427,977",-,-,-,-,-
Averages:,"$14,865,282",-,-,-,-,-
""
Rank,Movie Title (click to view),Studio,Total Gross,Theaters,Opening,Theaters,Open,Close
301,Ernest & Celestine,GK,"$262,075",39,"$13,078",1,2/28,5/1
302,Blue Ruin,RTWC,"$258,384",61,"$32,608",7,4/25,6/26
303,The Green Prince,MBox,"$258,237",24,"$32,698",4,9/12,11/27
304,The Zero Theorem,Ampl.,"$257,706",63,"$83,803",63,9/19,10/23
305,Action Jackson (2014),Eros,"$256,872",125,"$171,795",125,12/5,12/18
306,Alive Inside,B360,"$256,682",20,"$7,200",1,7/18,10/30
307,The Blue Room,IFC,"$254,666",42,"$21,809",3,10/3,12/4
308,National Gallery,Zipp.,"$253,941",15,"$10,049",1,11/5,3/26
309,Tazza: The Hidden Card,CJ,"$251,555",11,"$24,106",1,9/19,10/23
310,The Galapagos Affair: Satan Came to Eden,Zeit.,"$247,159",15,"$5,185",1,4/4,7/20
311,James Cameron's Deepsea Challenge 3D,DLA,"$235,659",304,"$149,879",304,8/8,8/14
312,Art and Craft,Osci.,"$235,037",20,"$20,879",2,9/19,2/5
313,Diplomacy,Zeit.,"$230,880",14,"$8,518",1,10/15,1/25
